 approach_a , approach_b 
500488.8461,0
334769.1312,0
526796.9133,0
788047.1367,1476235.277
1042080.507,0
659942.6936,2821795.377
1244759.889,1683810.776
187489.1335,0
349756.0936,0
320189.0702,0
322007.248,0
81502.33622,0
1530621.755,0
174767.0499,0
554863.5836,0
0,0
1138961.791,0
232438.7727,0
0,0
838247.3692,0
1102895.706,0
152330.8105,0
872090.3395,0
0,0
1116082.245,0
302274.3681,0
805547.3795,0
797643.8735,0
974446.7548,0
877135.1673,0
1249606.269,0
245916.1831,0
1573485.709,0
475984.7521,0
211751.3492,2576647.177
427086.7352,0
353455.2574,0
223900.4504,0
497844.3229,0
611428.9637,0
522824.767,0
268730.2075,0
248718.8451,0
857309.3339,13076244.77
0,0
2621369.433,0
431418.9307,0
482186.7688,0
516587.9693,0
329193.7262,0
1077963.091,0
610489.7968,0
631795.6385,0
0,0
538063.6707,7303331.319
470174.839,0
1429308.626,0
137980.1595,0
168696.816,0
789076.3989,0
1395659.877,0
69545.96724,0
1291042.817,0
379887.8115,0
556479.5348,3439875.592
3594062.02,0
397999.0681,0
1616432.633,0
1202924.844,0
790053.2045,0
566187.0756,0
158842.5091,0
489827.1327,0
1966891.518,0
0,0
1466002.846,3071571.469
670024.1762,5919123.23
1952387.889,0
2289769.985,0
299914.25,0
432645.9697,0
0,2563272.973
0,0
1979671.455,0
488349.3782,0
0,0
244694.9308,933415.8594
900163.5612,3333329.114
293140.562,0
0,0
878481.1532,0
473983.58,0
234884.5824,0
540933.3695,0
1013887.125,0
385435.9929,0
140546.9307,0
0,9116450.042
399697.2754,4756283.783
1069244.069,0
290612.4589,6750972.054
383150.2953,0
256221.4401,0
111915.9339,7763791.069
247068.9033,3536757.497
257277.7676,0
653048.584,1022763.94
1140379.497,6174163.72
969883.6263,0
0,0
368105.8538,0
657360.1003,0
673005.3499,0
226623.4736,0
331613.8974,0
331685.4049,15296611.85
202667.5913,0
116329.537,6388499.566
1603791.94,0
297361.9373,0
692638.5309,0
837197.6249,0
0,0
823347.5763,0
506343.3003,0
1739532.631,0
572880.0468,0
417453.1313,4565349.838
1330598.443,0
1730053.119,0
608753.3422,0
261419.6411,0
408219.4881,0
172057.917,2767179.09
119168.113,1022493.01
853135.0308,0
1286362.654,0
311830.3605,0
453862.8173,0
404530.2893,0
177620.2525,0
391616.095,0
880958.2552,5111995.602
1452663.192,0
1089069.725,8196364.217
0,7539048.949
478603.0754,0
661018.6745,0
0,0
1284361.792,0
315760.6083,0
0,0
0,0
219416.7459,0
363807.8978,0
659401.8476,0
242564.0879,5829185.589
1965986.032,0
0,1771260.136
216532.3607,0
589614.524,6849853.117
603581.1278,0
392029.3067,5161780.858
0,4490017.33
59077.53833,0
183922.0334,0
546075.1783,0
824196.4811,10318597.11
934550.4688,0
700639.1218,0
216822.7118,0
0,4360726.631
1272733.423,0
497290.8283,0
293448.6834,8440054.013
591879.0629,0
560234.7235,0
0,0
0,0
546439.1735,0
904621.325,0
0,4837236.117
0,0
0,0
1131397.848,0
417205.1377,0
0,0
344166.1395,0
743940.3248,0
83445.18863,6312816.572
2017059.343,10872572.16
410201.8775,0
203532.7497,0
1710493.406,0
419672.1805,6940120.794
0,6811410.459
543038.5743,0
573534.3457,0
258885.7051,6534299.46
689161.4053,0
908271.3621,0
450600.8532,8089816.921
168720.2212,0
293750.5367,2200869.669
856732.5489,0
225592.2446,0
539107.6917,5580219.048
0,0
91772.2327,0
290030.4936,0
2569275.374,0
120404.9938,0
818258.6141,9456319.02
0,0
1127352.172,0
0,0
392149.3039,0
504717.5248,0
0,0
135236.7877,11298732.14
688483.8701,6419907.909
519449.2932,0
603015.4404,0
377012.4023,0
497508.7867,0
202226.6324,0
0,0
471216.6524,2082108.653
536120.123,0
0,8335468.01
718363.069,0
259524.8868,0
398862.4428,0
141564.6804,5224597.718
772359.7373,0
803573.3347,0
405890.3855,0
349326.1048,0
0,0
284750.3467,0
400137.4714,0
402609.1791,0
531509.0536,0
1860207.337,0
184807.9476,0
326188.6413,0
671445.775,4305916.039
404940.2371,4371110.07
1860573.413,0
0,2605964.112
273018.7686,7602329.279
981702.7974,0
222563.7516,0
852413.6907,0
1010131.736,0
1043943.766,0
705878.0773,0
